workspaceCode,code,caption,defaultStyleCode,measureCaption,measureUnit,scale,offset,tags,links
WAPOR-3,L2-E-D,Evaporation (National - Dekadal - 100m),AETI-D,Evaporation,mm/day,0.1,0.0,"['DEKADAL', 'EVAPORATION', 'WAPOR', 'WATER']",http://data.apps.fao.org/gismgr/api/v2/catalog/workspaces/WAPOR-3/mapsets/L2-E-D
WAPOR-3,L2-GBWP-A,Gross biomass water productivity (Annual - 100m),BWP-A,Gross Biomass Water Productivity,kg/m³,0.001,0.0,"['ANNUAL', 'BIOMASS', 'PRODUCTION', 'WAPOR', 'WATER']",http://data.apps.fao.org/gismgr/api/v2/catalog/workspaces/WAPOR-3/mapsets/L2-GBWP-A
WAPOR-3,L2-I-A,Interception (National - Annual - 100m),AETI-A,Interception,mm/year,0.1,0.0,"['ANNUAL', 'INTERCEPTION', 'M100', 'WAPOR', 'WATER']",http://data.apps.fao.org/gismgr/api/v2/catalog/workspaces/WAPOR-3/mapsets/L2-I-A
WAPOR-3,L2-I-D,Interception (National - Dekadal - 100m),AETI-D,Interception,mm/day,0.1,0.0,"['DEKADAL', 'INTERCEPTION', 'WAPOR', 'WATER']",http://data.apps.fao.org/gismgr/api/v2/catalog/workspaces/WAPOR-3/mapsets/L2-I-D
WAPOR-3,L2-NBWP-A,Net biomass water productivity (Annual - 100m),BWP-A,Net Biomass Water Productivity,kg/m³,0.001,0.0,"['ANNUAL', 'BIOMASS', 'PRODUCTION', 'WAPOR', 'WATER']",http://data.apps.fao.org/gismgr/api/v2/catalog/workspaces/WAPOR-3/mapsets/L2-NBWP-A
WAPOR-3,L2-NPP-D,Net Primary Production (National - Dekadal - 100m),NPP,Net Primary Production,gC/m²/day,0.001,0.0,"['DEKADAL', 'NPP', 'WAPOR', 'WATER']",http://data.apps.fao.org/gismgr/api/v2/catalog/workspaces/WAPOR-3/mapsets/L2-NPP-D
WAPOR-3,L2-NPP-M,Net Primary Production (National - Monthly - 100m),NPP-M,Net Primary Production,gC/m²/month,0.001,0.0,"['MONTHLY', 'NPP', 'WAPOR', 'WATER']",http://data.apps.fao.org/gismgr/api/v2/catalog/workspaces/WAPOR-3/mapsets/L2-NPP-M
WAPOR-3,L2-QUAL-NDVI-D,Quality of normalized difference vegetation index (National - Dekadal - 100m),QUAL-NDVI-D,Quality of Normalized Difference Vegetation Index,d,1.0,0.0,"['ANCILLARY', 'DEKADAL', 'M100', 'NDVI', 'WAPOR', 'WATER']",http://data.apps.fao.org/gismgr/api/v2/catalog/workspaces/WAPOR-3/mapsets/L2-QUAL-NDVI-D
WAPOR-3,L2-RSM-D,Relative Soil Moisture (National - Dekadal - 100m),RSM-D,Relative Soil Moisture,%,0.001,0.0,"['DEKADAL', 'RSM', 'WAPOR', 'WATER']",http://data.apps.fao.org/gismgr/api/v2/catalog/workspaces/WAPOR-3/mapsets/L2-RSM-D
WAPOR-3,L2-T-A,Transpiration (National - Annual - 100m),AETI-A,Transpiration,mm/year,0.1,0.0,"['ANNUAL', 'M100', 'TRANSPIRATION', 'WAPOR', 'WATER']",http://data.apps.fao.org/gismgr/api/v2/catalog/workspaces/WAPOR-3/mapsets/L2-T-A
WAPOR-3,L2-T-D,Transpiration (National - Dekadal - 100m),AETI-D,Transpiration,mm/day,0.1,0.0,"['DEKADAL', 'TRANSPIRATION', 'WAPOR', 'WATER']",http://data.apps.fao.org/gismgr/api/v2/catalog/workspaces/WAPOR-3/mapsets/L2-T-D
WAPOR-3,L2-TBP-A,Total Biomass Production (Global - Annual - 100m),TBP-A,Total Biomass Production,kg/ha,1.0,0.0,"['ANNUAL', 'BIOMASS', 'PRODUCTION', 'WAPOR', 'WATER']",http://data.apps.fao.org/gismgr/api/v2/catalog/workspaces/WAPOR-3/mapsets/L2-TBP-A
